month ,year,flow [acre-ft/month]
10,1905,458528.00
11,1905,401644.00
12,1905,226871.00
1,1906,244314.00
2,1906,292534.00
3,1906,678174.00
4,1906,1204640.00
5,1906,3635101.00
6,1906,5014167.00
7,1906,2950460.00
8,1906,1605086.00
9,1906,1503159.00
10,1906,739807.00
11,1906,503006.00
12,1906,353312.00
1,1907,356760.00
2,1907,377349.00
3,1907,789130.00
4,1907,1465838.00
5,1907,2702179.00
6,1907,5967232.00
7,1907,5103491.00
8,1907,1920787.00
9,1907,955414.00
10,1907,608812.00
11,1907,377467.00
12,1907,268130.00
1,1908,276192.00
2,1908,379543.00
3,1908,664762.00
4,1908,1041224.00
5,1908,1595614.00
6,1908,2922360.00
7,1908,1924283.00
8,1908,1117477.00
9,1908,598088.00
10,1908,483627.00
11,1908,395707.00
12,1908,312145.00
1,1909,378989.00
2,1909,317458.00
3,1909,763721.00
4,1909,1120492.00
5,1909,3349297.00
6,1909,7203254.00
7,1909,4109919.00
8,1909,1880422.00
9,1909,1526396.00
10,1909,680646.00
11,1909,489990.00
12,1909,377548.00
1,1910,289322.00
2,1910,493565.00
3,1910,1403871.00
4,1910,1730475.00
5,1910,3298793.00
6,1910,3101705.00
7,1910,1373125.00
8,1910,866631.00
9,1910,630999.00
10,1910,616468.00
11,1910,445769.00
12,1910,345922.00
1,1911,367374.00
2,1911,482597.00
3,1911,902111.00
4,1911,951815.00
5,1911,2924637.00
6,1911,4124342.00
7,1911,2353784.00
8,1911,1016615.00
9,1911,593647.00
10,1911,1138004.00
11,1911,442055.00
12,1911,353041.00
1,1912,346041.00
2,1912,327037.00
3,1912,538143.00
4,1912,902408.00
5,1912,3684152.00
6,1912,6151096.00
7,1912,3206236.00
8,1912,1362372.00
9,1912,631542.00
10,1912,636273.00
11,1912,533066.00
12,1912,305039.00
1,1913,354040.00
2,1913,314036.00
3,1913,523341.00
4,1913,1829662.00
5,1913,3270773.00
6,1913,3144987.00
7,1913,1984477.00
8,1913,874871.00
9,1913,701627.00
10,1913,670352.00
11,1913,538369.00
12,1913,329845.00
1,1914,369539.00
2,1914,401134.00
3,1914,876055.00
4,1914,1593815.00
5,1914,4685651.00
6,1914,6296012.00
7,1914,3116693.00
8,1914,1405438.00
9,1914,783864.00
10,1914,964927.00
11,1914,527355.00
12,1914,334330.00
1,1915,304134.00
2,1915,397336.00
3,1915,525839.00
4,1915,1483872.00
5,1915,2427137.00
6,1915,3642472.00
7,1915,2147795.00
8,1915,853538.00
9,1915,528868.00
10,1915,557983.00
11,1915,411050.00
12,1915,343248.00
1,1916,393996.00
2,1916,424367.00
3,1916,1391402.00
4,1916,1802735.00
5,1916,3736188.00
6,1916,4752149.00
7,1916,2633061.00
8,1916,1931864.00
9,1916,809499.00
10,1916,1402792.00
11,1916,495715.00
12,1916,369117.00
1,1917,260297.00
2,1917,351858.00
3,1917,506892.00
4,1917,1545288.00
5,1917,3763312.00
6,1917,7772051.00
7,1917,4940893.00
8,1917,1618992.00
9,1917,822052.00
10,1917,510346.00
11,1917,448052.00
12,1917,402771.00
1,1918,356293.00
2,1918,373570.00
3,1918,655998.00
4,1918,901047.00
5,1918,2760606.00
6,1918,5393082.00
7,1918,2288860.00
8,1918,968226.00
9,1918,691873.00
10,1918,569909.00
11,1918,496385.00
12,1918,410088.00
1,1919,287188.00
2,1919,316951.00
3,1919,653288.00
4,1919,1414719.00
5,1919,3231443.00
6,1919,2597757.00
7,1919,1537304.00
8,1919,904499.00
9,1919,531938.00
10,1919,377401.00
11,1919,404787.00
12,1919,394092.00
1,1920,406940.00
2,1920,601644.00
3,1920,685472.00
4,1920,983984.00
5,1920,5917499.00
6,1920,6993901.00
7,1920,3165232.00
8,1920,1376497.00
9,1920,620527.00
10,1920,534996.00
11,1920,596367.00
12,1920,404572.00
1,1921,414071.00
2,1921,456635.00
3,1921,943676.00
4,1921,930238.00
5,1921,4180109.00
6,1921,8467231.00
7,1921,2849389.00
8,1921,1972571.00
9,1921,953215.00
10,1921,488368.00
11,1921,417789.00
12,1921,453491.00
1,1922,351437.00
2,1922,438927.00
3,1922,907265.00
4,1922,1185878.00
5,1922,4699578.00
6,1922,5761054.00
7,1922,2159890.00
8,1922,1148518.00
9,1922,657391.00
10,1922,336581.00
11,1922,400845.00
12,1922,399832.00
1,1923,375212.00
2,1923,340452.00
3,1923,449461.00
4,1923,1316359.00
5,1923,3835398.00
6,1923,5077612.00
7,1923,3053686.00
8,1923,1744686.00
9,1923,1013539.00
10,1923,747522.00
11,1923,646295.00
12,1923,423825.00
1,1924,312564.00
2,1924,506890.00
3,1924,508913.00
4,1924,1665561.00
5,1924,3264099.00
6,1924,3780821.00
7,1924,1672022.00
8,1924,720755.00
9,1924,389827.00
10,1924,388361.00
11,1924,392567.00
12,1924,275417.00
1,1925,262125.00
2,1925,403157.00
3,1925,607575.00
4,1925,1382195.00
5,1925,2536635.00
6,1925,2860902.00
7,1925,2086524.00
8,1925,1040652.00
9,1925,1174711.00
10,1925,1020530.00
11,1925,608566.00
12,1925,447131.00
1,1926,359577.00
2,1926,353543.00
3,1926,643799.00
4,1926,1634988.00
5,1926,3546066.00
6,1926,4075706.00
7,1926,1998872.00
8,1926,966236.00
9,1926,459006.00
10,1926,461696.00
11,1926,334893.00
12,1926,379348.00
1,1927,337439.00
2,1927,388832.00
3,1927,605740.00
4,1927,1269471.00
5,1927,4135924.00
6,1927,4064755.00
7,1927,3135304.00
8,1927,1321496.00
9,1927,2116962.00
10,1927,979882.00
11,1927,739253.00
12,1927,444154.00
1,1928,469629.00
2,1928,463036.00
3,1928,754898.00
4,1928,1025978.00
5,1928,4580808.00
6,1928,4271762.00
7,1928,2241461.00
8,1928,1048281.00
9,1928,558717.00
10,1928,625418.00
11,1928,570090.00
12,1928,344257.00
1,1929,331823.00
2,1929,346061.00
3,1929,923749.00
